@@,itemlabel,item,startdate,enddate
->,Abdullan Sulaiman Alhamdan->Abdullah bin Suleiman Al Hamdan,Q12223501,1932->1932-08-14,1954->1954-04-14
->,Mohammed Suroor Sabban,Q6893365,1954->1954-04-14,1958->1958-02-22
+++,Abdullah bin Abdul Rahman Adwan,,1958-02-22,1958-07-28
->,"King Faisal bin Abdulaziz Al Saud, King of the Kingdom of Saudi Arabia->Faisal bin Abdulaziz Al Saud",Q217167,1958-07-28,1960-08-30
->,Talal bin Abdulaziz Al Saud,Q712690,1960->1960-08-30,1962->1961-09-11
->,Musaid bin Abdul Rahman->Musaid bin Abdul Rahman Al Saud,Q98767348,1962-03-16,1975-10-14
+++,Suleiman bin Abdelaziz Al Sulaim,,1995-08-03,1995-10-10
---,Abdulaziz ِAl Khwaiter,Q12222960,1995-10-09,1996-01-29
+++,Abdulaziz Abdullah Al Khuwaiter,,1995-10-10,1996-01-30
->,Ibrahim Abdulaziz Al-Assaf->Ibrahim Abdulaziz Al Assaf,Q16135350,1996-01-30,2016-11-01
->,Mohammed Al-Jadaan->Mohammed Al Jadaan,Q28715686,2016-11-01,
