@@,item,itemlabel,startdate,enddate
->,Q2034586,Ossama bin Abdul Majed Shobokshi->Dr. Osama bin Abdulmageed Shobukshi,1995,2003
->,Q4666101,Abdullah bin Abdulaziz Al Rabiah->Abdullah bin Abdulaziz Al Rabeeah,2009,2014
->,Q6399442,Khalid A. Al-Falih->Khalid Al Falih,2015,2016
---,Q61755190,Ahmad Aqil al-Khatib,2015,2015
---,Q27881383,Mohammed Al-Hayaza,2015,2015
+++,,Ahmed Al Khatib,2015,
+++,,Mohammed Al Hayaza,2015,
->,Q7689265,Tawfiq Al Rabiah->Tawfig Al Rabiah,2016-05-07,2021-10-15
+++,,Eng. Fahad A. AlJalajel,2021,
---,Q108904593,Fahad bin Abdurrahman Al-Jalajel,2021-10-15,
